#INFO,Version=1.0.0,Template= eBay-active-revise-price-quantity-download_US,,,,,,,,,
Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU)
,,,,,,"25.2",,"0","Variation",Size=500GB SATA Pro,IF_027FC4C78Z_50
,,,,,,"45.2",,"0","Variation",Size=1TB SATA Pro,IF_027FC4C78Z_1T
,,,,,,"20.2",,"0","Variation",Size=120GB SSD Pro,IF_027FC4C78Z_12
,,,,,,"34.22",,"0","Variation",Size=240GB SSD Pro,IF_027FC4C78Z_24
,,,,,,"53.2",,"0","Variation",Size=480GB SSD Pro,IF_027FC4C78Z_48
Revise,"CPUs/Processors (164)","394675190227",LOT of 3 Intel Core i3-2120 3.30GHz Dual-Core CPU Processor LGA1155 Socket SR05Y,"US","USD","23.17",,"10",,,C0I-LE-MJE
Revise,"CPUs/Processors (164)","394675235155",Lot of 4 Intel Core i3-2120 Dual Core 3.30GHz 3M LGA1155 Desktop Processor CPU,"US","USD","23.83",,"10",,,VQ8-FY-LZ9
Revise,"CPUs/Processors (164)","394675480741",Lot of 2 Intel Core i3-2120  Core 3.30GHz SR05Y LGA1155 Desktop Processor L-A,"US","USD","17.75",,"10",,,4XI-6D-RBN
Revise,"CPUs/Processors (164)","394677134947",Intel Core i3-2120 3.3 GHz 5 GT/s LGA 1155 Desktop CPU Processor SR05Y,"US","USD","8.33",,"10",,,X4K-M5-ZMX
Revise,"Internal Hard Disk Drives (56083)","394723183431","1TB HDD/SSD 2.5"" SATA Hard Drive Laptop with Windows 10 Pro Installed Legacy 64","US","USD",,,,,Storage size=250GB HDD;320GB HDD;500GB HDD;1TB HDD;120GB SSD;250GB SSD;480GB SSD;1TB SSD,30265293
,,,,,,"18.25",,"0","Variation",Storage size=250GB HDD,2MT-RXZ_25
,,,,,,"19.25",,"0","Variation",Storage size=320GB HDD,2MT-RXZ_32
,,,,,,"23.25",,"0","Variation",Storage size=500GB HDD,2MT-RXZ_50
,,,,,,"44.25",,"0","Variation",Storage size=1TB HDD,2MT-RXZ_1T
,,,,,,"25.25",,"10","Variation",Storage size=120GB SSD,2MT-RXZ_12
,,,,,,"33.25",,"10","Variation",Storage size=250GB SSD,2MT-RXZ_252
,,,,,,"50.25",,"10","Variation",Storage size=480GB SSD,2MT-RXZ_48
Revise,"Internal Hard Disk Drives (56083)","394758879765","Internal 500GB 2.5"" SATA Laptop Hard Drive with - Windows 7 Pro Installed","US","USD","20.2",,"0",,,WIN725FF500G
Revise,"Solid State Drives (175669)","394988105499",128 256 512 GB 1TB SSD M.2 NVMe PCIe Hard Drive Laptop w/ Windows 10 Pro UEFI 64,"US","USD",,,,,CAPACITY=128GB SSD;256GB SSD;512GB SSD;1TB SSD,31019846
,,,,,,"26.95",,"10","Variation",CAPACITY=128GB SSD,IF-SSD-911-WIN_12
,,,,,,"33.95",,"10","Variation",CAPACITY=256GB SSD,IF-SSD-911-WIN_25
,,,,,,"54.95",,"10","Variation",CAPACITY=512GB SSD,IF-SSD-911-WIN_51
,,,,,,"85.95",,"10","Variation",CAPACITY=1TB SSD,IF-SSD-911-WIN_1T
Revise,"Solid State Drives (175669)","395003110633",Lenovo Samsung 512GB NVMe M.2 SSD Solid State with Windows 10 Pro Installed,"US","USD","88.75",,"10",,,HKF-1L1Y-WL1A
Revise,"Solid State Drives (175669)","395003135088",128 256 512 GB 1TB SSD M.2 PCIe Single Notch Hard Drive Laptop w/ Windows 10 Pro,"US","USD",,,,,CAPACITY=128GB SSD;256GB SSD;512GB SSD;1TB SSD,31020309
,,,,,,"27.15",,"10","Variation",CAPACITY=128GB SSD,IF-SSD-911-WIN_12-1
,,,,,,"31.15",,"10","Variation",CAPACITY=256GB SSD,IF-SSD-911-WIN_25-1
,,,,,,"56.95",,"10","Variation",CAPACITY=512GB SSD,IF-SSD-911-WIN_51-1
,,,,,,"78.95",,"10","Variation",CAPACITY=1TB SSD,IF-SSD-911-WIN_1T-1
Revise,"Solid State Drives (175669)","395032218858",M.2 NVMe SSD 128GB 256GB 512GB Single Notch with Windows Installed 10 / 11,"US","USD",,,,,Windows Version=Windows 10 Pro;Windows 11 Pro|Storage=128GB;256GB;512GB;1TB,31099674
,,,,,,"27.25",,"10","Variation",Windows Version=Windows 10 Pro|Storage=128GB,IF-12KM-2F_Wi_12
,,,,,,"31.25",,"9","Variation",Windows Version=Windows 10 Pro|Storage=256GB,IF-12KM-2F_Wi_25
,,,,,,"55.25",,"10","Variation",Windows Version=Windows 10 Pro|Storage=512GB,IF-12KM-2F_Wi_51
,,,,,,"75.25",,"10","Variation",Windows Version=Windows 10 Pro|Storage=1TB,IF-12KM-2F_Wi_1T
,,,,,,"27.55",,"10","Variation",Windows Version=Windows 11 Pro|Storage=128GB,IF-12KM-2F_Wi2_12
,,,,,,"31.55",,"9","Variation",Windows Version=Windows 11 Pro|Storage=256GB,IF-12KM-2F_Wi2_25
,,,,,,"55.55",,"9","Variation",Windows Version=Windows 11 Pro|Storage=512GB,IF-12KM-2F_Wi2_51
,,,,,,"75.55",,"10","Variation",Windows Version=Windows 11 Pro|Storage=1TB,IF-12KM-2F_Wi2_1T
Revise,"Internal Hard Disk Drives (56083)","394225069516","512GB SSD Drive SATA 2.5"" Internal Hard Drive For PC Laptop Windows 10 Pro 64Bit","US","USD",,,,,Storage Capacity=120/128SSD;240/256SSD;480/512SSD,Q91-10F-S60V
,,,,,,"18.95",,"0","Variation",Storage Capacity=120/128SSD,Q91-10F-S60V_12
,,,,,,"32.95",,"0","Variation",Storage Capacity=240/256SSD,Q91-10F-S60V_24
,,,,,,"53.95",,"0","Variation",Storage Capacity=480/512SSD,Q91-10F-S60V_48
Revise,"Solid State Drives (175669)","395416739924",M.2 NVMe SSD 256GB Single Notch with Windows Installed 7/10/11 Pro,"US","USD",,,,,Operating System=Windows 7 Pro;Windows 10 Pro;Windows 11 Pro,BBS-B26Z-QNCI
,,,,,,"29.31",,"10","Variation",Operating System=Windows 7 Pro,BBS-B26Z-QNCI_Wi
,,,,,,"29.37",,"10","Variation",Operating System=Windows 10 Pro,BBS-B26Z-QNCI_Wi2
,,,,,,"29.49",,"10","Variation",Operating System=Windows 11 Pro,BBS-B26Z-QNCI_Wi3
Revise,"Drive Bay Caddies (158816)","395529210994","Dell F767D R494D Optiplex Precision 3.5"" to 2.5"" SSD Hard Drive Caddy Adapter","US","USD","8.95",,"10",,,HIT0-RUYM-IH7MG
Revise,"Chargers & Cradles (123417)","395649698854",Lot 20W USB-C Type C Fast Charger Power Adapter Block For iPhone 15 14 13 12 Pro,"US","USD",,,,,PACK=1 ADAPTER;2 ADAPTERS;3 ADAPTERS;5 ADAPTERS;10 ADAPTERS;20 ADAPTERS;50 ADAPTERS;100 ADAPTERS,5G0-NMZ2-1B78
,,,,,,"7.25",,"10","Variation",PACK=1 ADAPTER,IF_B66AF316
,,,,,,"11.25",,"10","Variation",PACK=2 ADAPTERS,IF_A14E86BE
,,,,,,"14.25",,"10","Variation",PACK=3 ADAPTERS,IF_D1E59DE5
,,,,,,"23.25",,"10","Variation",PACK=5 ADAPTERS,IF_5AA72EF8
,,,,,,"43.25",,"10","Variation",PACK=10 ADAPTERS,IF_8F50A737
,,,,,,"68.25",,"10","Variation",PACK=20 ADAPTERS,IF_AA2D2383
,,,,,,"160.25",,"10","Variation",PACK=50 ADAPTERS,IF_D65DA018
,,,,,,"325.25",,"10","Variation",PACK=100 ADAPTERS,IF_35546A09
Revise,"Cables & Adapters (123422)","395649956540",Wholesale PD 20W USB C Type C Adapter Fast Charger For iPhone 14/13/12/11/ProMax,"US","USD",,,,,PACK=1 ADAPTER;2 ADAPTERS;3 ADAPTERS;5 ADAPTERS;10 ADAPTERS;20 ADAPTERS;50 ADAPTERS;100 ADAPTERS,0JF-3RMD-71CF
,,,,,,"7.85",,"10","Variation",PACK=1 ADAPTER,NKZ-8BWS_1
,,,,,,"11.85",,"10","Variation",PACK=2 ADAPTERS,NKZ-8BWS_2
,,,,,,"14.85",,"10","Variation",PACK=3 ADAPTERS,NKZ-8BWS_3
,,,,,,"23.85",,"10","Variation",PACK=5 ADAPTERS,NKZ-8BWS_5
,,,,,,"43.85",,"10","Variation",PACK=10 ADAPTERS,NKZ-8BWS_10
,,,,,,"71.85",,"10","Variation",PACK=20 ADAPTERS,NKZ-8BWS_20
,,,,,,"168.85",,"10","Variation",PACK=50 ADAPTERS,NKZ-8BWS_50
,,,,,,"325.85",,"10","Variation",PACK=100 ADAPTERS,NKZ-8BWS_102
Revise,"Internal Hard Disk Drives (56083)","395706978395","HDD/SSD 2.5"" SATA or NVMe Hard Drive with Windows 10 or Windows 11 Pro Installed","US","USD",,,,,"Operating System=Windows 10 Pro;Windows 11 pro|Storage Size=250GB HDD;320GB HDD;500GB HDD;1TB HDD;128GB  2.5"";256GB 2.5"";128GB NVMe;256GB NVMe",
,,,,,,"18.55",,"0","Variation",Operating System=Windows 10 Pro|Storage Size=250GB HDD,5PY-DI0_Wi_25
,,,,,,"19.55",,"0","Variation",Operating System=Windows 10 Pro|Storage Size=320GB HDD,5PY-DI0_Wi_32
,,,,,,"24.55",,"0","Variation",Operating System=Windows 10 Pro|Storage Size=500GB HDD,5PY-DI0_Wi_50
,,,,,,"44.55",,"0","Variation",Operating System=Windows 10 Pro|Storage Size=1TB HDD,5PY-DI0_Wi_1T
,,,,,,"24.55",,"10","Variation","Operating System=Windows 10 Pro|Storage Size=128GB  2.5""",5PY-DI0_Wi_12
,,,,,,"33.55",,"10","Variation","Operating System=Windows 10 Pro|Storage Size=256GB 2.5""",5PY-DI0_Wi_252
,,,,,,"28.55",,"10","Variation",Operating System=Windows 10 Pro|Storage Size=128GB NVMe,5PY-DI0_Wi_122
,,,,,,"34.55",,"10","Variation",Operating System=Windows 10 Pro|Storage Size=256GB NVMe,5PY-DI0_Wi_253
,,,,,,"18.99",,"0","Variation",Operating System=Windows 11 pro|Storage Size=250GB HDD,5PY-DI0_Wi2_25
,,,,,,"19.99",,"0","Variation",Operating System=Windows 11 pro|Storage Size=320GB HDD,5PY-DI0_Wi2_32
,,,,,,"24.99",,"0","Variation",Operating System=Windows 11 pro|Storage Size=500GB HDD,5PY-DI0_Wi2_50
,,,,,,"44.99",,"0","Variation",Operating System=Windows 11 pro|Storage Size=1TB HDD,5PY-DI0_Wi2_1T
,,,,,,"24.99",,"10","Variation","Operating System=Windows 11 pro|Storage Size=128GB  2.5""",5PY-DI0_Wi2_12
,,,,,,"33.99",,"10","Variation","Operating System=Windows 11 pro|Storage Size=256GB 2.5""",5PY-DI0_Wi2_252
,,,,,,"28.99",,"10","Variation",Operating System=Windows 11 pro|Storage Size=128GB NVMe,5PY-DI0_Wi2_122
,,,,,,"34.99",,"10","Variation",Operating System=Windows 11 pro|Storage Size=256GB NVMe,5PY-DI0_Wi2_253
Revise,"Mice, Trackballs & Touchpads (23160)","395871384682","Apple A1152 Wired USB Mighty Mouse MB112LL/B - Optical, White, Tested","US","USD","18.33",,"8",,,L4K2-FWMY-PM6K1
Revise,"VoIP Business Phones/IP PBX (61839)","395880206741",Cisco Phone CP-7965G 7965g IP Color Display Base Handset,"US","USD","48.33",,"3",,,2QK3-YOUK-81D2L
Revise,"Overhead Projectors (67094)","395880735715",Elmo P10 Digital Document Projector No Power Adapter,"US","USD","73.75",,"2",,,TWFC-UEBB-LHZQH
Revise,"VoIP Business Phones/IP PBX (61839)","395880817756",Cisco Phone CP-7965G 7965g IP Color Display Base Handset,"US","USD","46.65",,"8",,,3UE9-KOCK-7BG7J
Revise,"Monitors (80053)","395892472365",DELL UltraSharp 2407WFPb  Widescreen LCD Monitor With Stand & soundbar,"US","USD","88.8",,"0",,,HK6V-YOMD-KYBS1
Revise,"Monitor Mounts & Stands (51052)","395997468296",Ergotron Sit Stand Wall Mount System Monitor & Keyboard Tray & PC Tray,"US","USD","56.25",,"10",,,FH9I-2GK2-RN439
Revise,"CPUs/Processors (164)","396252933612",Intel Core i3-4130 3.40GHz SR1NP 3MB CPU Processor 5GT/s LGA1150 4th Gen,"US","USD","7.0",,"10",,,2QYB-W7E-F79NE
Revise,"CPUs/Processors (164)","396253027179",Lot of 10 Intel Core i3 3.40 Ghz LGA 1150 4th gen CPU Processor US Seller,"US","USD","48.25",,"10",,,WX42-TOU-XB2L5
Revise,"Graphics/Video Cards (27386)","396332315928",NVIDIA  P2010 GEFORCE  GT 640 1024MB DDR5 P2010GRAPHICS CARD,"US","USD","39.95",,"1",,,LZ51-NDU-11NXC
Revise,"Cell Phones & Smartphones (9355)","396444457756",Apple iPhone SE 2nd Gen 64GB  Factory Unlocked works only with Tmobile- OPEN BOX,"US","USD","115.25",,"5",,,IPSE-2ND-GEN2
Revise,"PC Desktops & All-In-Ones (179)","396767148169",HP PRO 3500 MIDTOWER PC INTEL CORE i3-3220 3.3GHz 8GB 500GB WINDOWS 10 PRO,"US","USD","161.67",,"10",,,H39U-P2G8-PFILT
Revise,"PC Desktops & All-In-Ones (179)","396817785004",Dell Desktop PC Windows 11 Pro Intel Core i7 • Upto 32GB RAM • Upto 1TB SSD WiFi,"US","USD",,,,,CPU=Intel i3 8th Gen;Intel i5 8th Gen;Intel i7 8th Gen|RAM=8GB;16GB;32GB|Storage=256 NVME SSD;512 NVME SSD;1 TB NVME SSD|OS=Windows 10 pro;Windows 11 pro,33729818
,,,,,,"173.83",,"0","Variation",CPU=Intel i3 8th Gen|RAM=8GB|Storage=256 NVME SSD|OS=Windows 10 pro,PYR5_In_8G_25_Wi
,,,,,,"198.48",,"0","Variation",CPU=Intel i3 8th Gen|RAM=8GB|Storage=256 NVME SSD|OS=Windows 11 pro,PYR5_In_8G_25_Wi2
,,,,,,"209.46",,"0","Variation",CPU=Intel i3 8th Gen|RAM=8GB|Storage=512 NVME SSD|OS=Windows 10 pro,PYR5_In_8G_51_Wi
,,,,,,"213.73",,"0","Variation",CPU=Intel i3 8th Gen|RAM=8GB|Storage=512 NVME SSD|OS=Windows 11 pro,PYR5_In_8G_51_Wi2
,,,,,,"271.3",,"0","Variation",CPU=Intel i3 8th Gen|RAM=8GB|Storage=1 TB NVME SSD|OS=Windows 10 pro,PYR5_In_8G_1 _Wi
,,,,,,"273.58",,"0","Variation",CPU=Intel i3 8th Gen|RAM=8GB|Storage=1 TB NVME SSD|OS=Windows 11 pro,PYR5_In_8G_1 _Wi2
,,,,,,"207.46",,"0","Variation",CPU=Intel i3 8th Gen|RAM=16GB|Storage=256 NVME SSD|OS=Windows 10 pro,PYR5_In_16_25_Wi
,,,,,,"223.42",,"0","Variation",CPU=Intel i3 8th Gen|RAM=16GB|Storage=256 NVME SSD|OS=Windows 11 pro,PYR5_In_16_25_Wi2
,,,,,,"233.4",,"0","Variation",CPU=Intel i3 8th Gen|RAM=16GB|Storage=512 NVME SSD|OS=Windows 10 pro,PYR5_In_16_51_Wi
,,,,,,"249.36",,"0","Variation",CPU=Intel i3 8th Gen|RAM=16GB|Storage=512 NVME SSD|OS=Windows 11 pro,PYR5_In_16_51_Wi2
,,,,,,"282.13",,"0","Variation",CPU=Intel i3 8th Gen|RAM=16GB|Storage=1 TB NVME SSD|OS=Windows 10 pro,PYR5_In_16_1 _Wi
,,,,,,"313.2",,"0","Variation",CPU=Intel i3 8th Gen|RAM=16GB|Storage=1 TB NVME SSD|OS=Windows 11 pro,PYR5_In_16_1 _Wi2
,,,,,,"252.68",,"0","Variation",CPU=Intel i3 8th Gen|RAM=32GB|Storage=256 NVME SSD|OS=Windows 10 pro,PYR5_In_32_25_Wi
,,,,,,"282.27",,"0","Variation",CPU=Intel i3 8th Gen|RAM=32GB|Storage=256 NVME SSD|OS=Windows 11 pro,PYR5_In_32_25_Wi2
,,,,,,"279.28",,"0","Variation",CPU=Intel i3 8th Gen|RAM=32GB|Storage=512 NVME SSD|OS=Windows 10 pro,PYR5_In_32_51_Wi
,,,,,,"294.48",,"0","Variation",CPU=Intel i3 8th Gen|RAM=32GB|Storage=512 NVME SSD|OS=Windows 11 pro,PYR5_In_32_51_Wi2
,,,,,,"330.58",,"0","Variation",CPU=Intel i3 8th Gen|RAM=32GB|Storage=1 TB NVME SSD|OS=Windows 10 pro,PYR5_In_32_1 _Wi
,,,,,,"364.07",,"0","Variation",CPU=Intel i3 8th Gen|RAM=32GB|Storage=1 TB NVME SSD|OS=Windows 11 pro,PYR5_In_32_1 _Wi2
,,,,,,"227.03",,"0","Variation",CPU=Intel i5 8th Gen|RAM=8GB|Storage=256 NVME SSD|OS=Windows 10 pro,PYR5_In2_8G_25_Wi
,,,,,,"242.23",,"0","Variation",CPU=Intel i5 8th Gen|RAM=8GB|Storage=256 NVME SSD|OS=Windows 11 pro,PYR5_In2_8G_25_Wi2
,,,,,,"265.98",,"0","Variation",CPU=Intel i5 8th Gen|RAM=8GB|Storage=512 NVME SSD|OS=Windows 10 pro,PYR5_In2_8G_51_Wi
,,,,,,"281.18",,"0","Variation",CPU=Intel i5 8th Gen|RAM=8GB|Storage=512 NVME SSD|OS=Windows 11 pro,PYR5_In2_8G_51_Wi2
,,,,,,"327.73",,"0","Variation",CPU=Intel i5 8th Gen|RAM=8GB|Storage=1 TB NVME SSD|OS=Windows 10 pro,PYR5_In2_8G_1 _Wi
,,,,,,"328.68",,"0","Variation",CPU=Intel i5 8th Gen|RAM=8GB|Storage=1 TB NVME SSD|OS=Windows 11 pro,PYR5_In2_8G_1 _Wi2
,,,,,,"244.25",,"0","Variation",CPU=Intel i5 8th Gen|RAM=16GB|Storage=256 NVME SSD|OS=Windows 10 pro,PYR5_In2_16_25_Wi
,,,,,,"254.25",,"0","Variation",CPU=Intel i5 8th Gen|RAM=16GB|Storage=256 NVME SSD|OS=Windows 11 pro,PYR5_In2_16_25_Wi2
,,,,,,"275.48",,"0","Variation",CPU=Intel i5 8th Gen|RAM=16GB|Storage=512 NVME SSD|OS=Windows 10 pro,PYR5_In2_16_51_Wi
,,,,,,"290.68",,"0","Variation",CPU=Intel i5 8th Gen|RAM=16GB|Storage=512 NVME SSD|OS=Windows 11 pro,PYR5_In2_16_51_Wi2
,,,,,,"310.25",,"0","Variation",CPU=Intel i5 8th Gen|RAM=16GB|Storage=1 TB NVME SSD|OS=Windows 10 pro,PYR5_In2_16_1 _Wi
,,,,,,"335.25",,"0","Variation",CPU=Intel i5 8th Gen|RAM=16GB|Storage=1 TB NVME SSD|OS=Windows 11 pro,PYR5_In2_16_1 _Wi2
,,,,,,"265.25",,"0","Variation",CPU=Intel i5 8th Gen|RAM=32GB|Storage=256 NVME SSD|OS=Windows 10 pro,PYR5_In2_32_25_Wi
,,,,,,"275.25",,"0","Variation",CPU=Intel i5 8th Gen|RAM=32GB|Storage=256 NVME SSD|OS=Windows 11 pro,PYR5_In2_32_25_Wi2
,,,,,,"295.25",,"0","Variation",CPU=Intel i5 8th Gen|RAM=32GB|Storage=512 NVME SSD|OS=Windows 10 pro,PYR5_In2_32_51_Wi
,,,,,,"305.25",,"0","Variation",CPU=Intel i5 8th Gen|RAM=32GB|Storage=512 NVME SSD|OS=Windows 11 pro,PYR5_In2_32_51_Wi2
,,,,,,"352.25",,"0","Variation",CPU=Intel i5 8th Gen|RAM=32GB|Storage=1 TB NVME SSD|OS=Windows 10 pro,PYR5_In2_32_1 _Wi
,,,,,,"380.25",,"0","Variation",CPU=Intel i5 8th Gen|RAM=32GB|Storage=1 TB NVME SSD|OS=Windows 11 pro,PYR5_In2_32_1 _Wi2
,,,,,,"223.25",,"0","Variation",CPU=Intel i7 8th Gen|RAM=8GB|Storage=256 NVME SSD|OS=Windows 10 pro,PYR5_In3_8G_25_Wi
,,,,,,"235.25",,"0","Variation",CPU=Intel i7 8th Gen|RAM=8GB|Storage=256 NVME SSD|OS=Windows 11 pro,PYR5_In3_8G_25_Wi2
,,,,,,"240.25",,"0","Variation",CPU=Intel i7 8th Gen|RAM=8GB|Storage=512 NVME SSD|OS=Windows 10 pro,PYR5_In3_8G_51_Wi
,,,,,,"250.25",,"0","Variation",CPU=Intel i7 8th Gen|RAM=8GB|Storage=512 NVME SSD|OS=Windows 11 pro,PYR5_In3_8G_51_Wi2
,,,,,,"285.25",,"0","Variation",CPU=Intel i7 8th Gen|RAM=8GB|Storage=1 TB NVME SSD|OS=Windows 10 pro,PYR5_In3_8G_1 _Wi
,,,,,,"295.25",,"0","Variation",CPU=Intel i7 8th Gen|RAM=8GB|Storage=1 TB NVME SSD|OS=Windows 11 pro,PYR5_In3_8G_1 _Wi2
,,,,,,"237.25",,"0","Variation",CPU=Intel i7 8th Gen|RAM=16GB|Storage=256 NVME SSD|OS=Windows 10 pro,PYR5_In3_16_25_Wi
,,,,,,"245.25",,"0","Variation",CPU=Intel i7 8th Gen|RAM=16GB|Storage=256 NVME SSD|OS=Windows 11 pro,PYR5_In3_16_25_Wi2
,,,,,,"260.25",,"0","Variation",CPU=Intel i7 8th Gen|RAM=16GB|Storage=512 NVME SSD|OS=Windows 10 pro,PYR5_In3_16_51_Wi
,,,,,,"270.25",,"0","Variation",CPU=Intel i7 8th Gen|RAM=16GB|Storage=512 NVME SSD|OS=Windows 11 pro,PYR5_In3_16_51_Wi2
,,,,,,"298.25",,"0","Variation",CPU=Intel i7 8th Gen|RAM=16GB|Storage=1 TB NVME SSD|OS=Windows 10 pro,PYR5_In3_16_1 _Wi
